Lat,Long,City,Location
41.8916978,-87.6085155,Chicago,Navy Pier
41.8827381,-87.6227554,Chicago,The Bean
41.8813627,-87.6725537,Chicago,The United Center
41.8515308,-87.632044,Chicago,China Town
41.7799305,-87.6496791,Chicago,Englewood
41.9102189,-87.6775175,Chicago,Wicker Park
41.9472224,-87.6564807,Chicago,Wrigley Field
41.946409,-87.6493917,Chicago,Lakeview
41.9017095,-87.7033377,Chicago,Humboldt Park
41.9028199,-87.6895016,Chicago,Pilson
41.9542214,-87.6795753,Chicago,Lakeview
51.5474489,-0.387638,London,St Paul's Cathedral
51.5472821,-0.3876384,London,London Eye
51.5471153,-0.3876388,London,Tower of London
51.5469485,-0.3876392,London,Hyde Park
51.5467817,-0.3876396,London,Big Ben
51.5466149,-0.38764,London,Kensington Palace
51.6471369,-0.409111,London,Watford
51.5081035,-0.0970753,London,Globe Theatre
51.518845,-0.1259674,London,British Museum
51.5387266,-0.0164607,London,Olympic Stadium
37.770478,-122.477425,San Francisco,Golden Gate Park
37.7597727,-122.427063,San Francisco,Dolores Park
37.8158332,-122.4780435,San Francisco,Golden Gate Bridge
37.7631877,-122.5128558,San Francisco,Ocean Beach
37.8087435,-122.4158769,San Francisco,Fishermans Wharf
37.7545798,-122.4464189,San Francisco,Twin Peaks
37.7948658,-122.3934746,San Francisco,San Francisco Ferry Building
37.778074,-122.3916602,San Francisco,At&t Park
37.7699989,-122.4469066,San Francisco,Haight Ashbury
37.8020583,-122.4191806,San Francisco,Lombard Street
40.7483142,-73.9847016,New York,Empire State Building
40.7585853,-73.9790115,New York,30 Rockefeller Plaza
40.7514272,-73.9936993,New York,Madison Square Garden
40.7585993,-73.9851414,New York,Times Square
40.775333,-73.972833,New York,Central Park
40.5730103,-73.981322,New York,Cony Island
40.7613411,-73.9779564,New York,MoMa
40.7112892,-74.0145618,New York,Near World Trade Center
40.7054665,-74.0133649,New York,New York Stock Exchange
40.7037122,-73.9937389,New York,Brooklyn Bridge
41.0063603,28.9780844,Istanbul,Sultanahmet
41.0373658,28.9854154,Istanbul,Taksim Square
41.041994,29.0068603,Istanbul,Becesehir University
41.0220137,28.9770433,Istanbul,Karakoy
41.0054443,28.9769441,Istanbul,Blue Mosque
41.008767,28.9798025,Istanbul,Haiga Sophia
41.0754137,29.0443304,Istanbul,Misir Konsoloslugo
40.8779465,29.0994964,Istanbul,Heybiliada
41.0105645,28.9680283,Istanbul,Grand Bazaar
41.012334,28.9846328,Istanbul,Topkapi Palace